preset,fake_weight,threshold,cv_macro_f1,cv_accuracy,cv_macro_auc,cv_fake_recall,cv_stage1_acc,n_stage1,n_stage2,stage1_features,stage2_features
all_vs_face_bvp,1.0,0.5,0.7410178524999854,0.740625,0.8881193599857097,0.8440860215053764,0.7921875,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all_vs_face_bvp,1.5,0.4,0.7408962683060546,0.7390625,0.8874121441557689,0.8897849462365591,0.79375,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all_vs_face_bvp,2.0,0.5,0.7403433110505953,0.7390625,0.8858287253581943,0.8682795698924731,0.7921875,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all,2.0,0.45,0.7392077792535457,0.7375,0.8923861698057571,0.8736559139784946,0.7875,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
all,1.5,0.35,0.7377262955922327,0.7359375,0.8941304657588723,0.8978494623655914,0.7875,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
top_split,2.0,0.35,0.7368707153693813,0.734375,0.8883279384494257,0.9139784946236559,0.7765625,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
all_vs_face_bvp,2.0,0.45,0.7360041215304373,0.734375,0.8858287253581943,0.8736559139784946,0.7875,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all,1.0,0.35,0.7358083511000885,0.734375,0.8947040800788612,0.8790322580645161,0.7859375,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
all_vs_face_bvp,1.5,0.35,0.7346319915916256,0.7328125,0.8874121441557689,0.8978494623655914,0.7875,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all,1.0,0.3,0.7343489353350995,0.7328125,0.8947040800788612,0.8978494623655914,0.784375,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
all,2.0,0.4,0.7330323390664154,0.73125,0.8923861698057571,0.8897849462365591,0.7828125,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
all_vs_face_bvp,1.0,0.35,0.7326762024254118,0.73125,0.8881193599857097,0.8790322580645161,0.7859375,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all_vs_face_bvp,1.0,0.3,0.7312761235431688,0.7296875,0.8881193599857097,0.8978494623655914,0.784375,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
