video_name,label,success,absdiff_std,boundary_score_max,boundary_score_mean,boundary_score_std,bvp_std,d3_temporal_score,highfreq_score,identity_sim_mean,identity_sim_min,identity_sim_std,patch_corr_mean,patch_signal_std_mean,pseudo_snr_db
00038.mp4,real,True,0.029895232707610412,10.260846047401428,4.163052086789297,1.820668928983714,0.13269846785641562,1.8642719984054565,0.028660733252763748,0.9132838543167641,0.7992909590830338,0.03393332889849754,0.12222170590754686,0.4277689015998802,-2.346333246047246
00039.mp4,real,True,0.03162550245409993,8.022159352302552,4.644984601738665,1.410950007822823,0.11260565160472347,3.229240655899048,0.030684510245919228,0.8070678815594277,0.0851276235647561,0.13894761851339382,0.1176703062423909,0.35074077610421583,-3.332784727226561
0004.mp4,real,True,nan,9.473769817352295,4.335881656819376,2.10004585066644,nan,2.913544178009033,0.015436881221830845,0.9170662670749898,0.8349023409647822,0.0342661215627607,nan,nan,nan
00040.mp4,real,True,0.021927824550170626,17.37133124828339,13.20356577674235,2.182484135419262,0.08377938664083326,1.8911792039871216,0.048456981778144836,0.9166899396264943,0.8436614480065457,0.02211348449178972,0.14223487436606067,0.2183144212441562,-2.6903081570065557
00041.mp4,real,True,0.03795982114720174,12.533741798400879,8.649016475546778,1.8962150508222717,0.15563879858669197,2.302257776260376,0.06846854090690613,0.9181449068853683,0.7500481190465251,0.04819811356486217,0.16525514392606194,0.7709087863023526,-5.3499820610468705
00042.mp4,real,True,0.023022822128936703,22.671398372650145,12.350243492499967,3.7909574457260176,0.08427726748726118,2.395157814025879,0.04708552733063698,0.8918440268485812,0.6901602529931471,0.05730907683108639,0.1118545729110631,0.26865710005215393,-3.020083467504543
00043.mp4,real,True,0.024253439687059605,19.602169432640075,13.047324494628583,1.6881446257694595,0.08944149034180691,3.148667573928833,0.026157887652516365,0.8909438355652297,0.7698186131139062,0.03280045190788996,0.14849031479333702,0.22582292742138974,-6.558471832736247
00044.mp4,real,True,0.021100485352024422,22.53680404663086,15.102620628265472,1.9976545503930376,0.07817904904655625,0.6327024102210999,0.02036277949810028,0.9359446924025968,0.8357369615604159,0.026854305016210063,0.14457358432695427,0.23408453134951154,-8.833118779791304
00045.mp4,real,True,0.03131103256180562,23.931331310272217,12.034538825456876,4.049104485754209,0.10495775439786037,5.083232879638672,0.03723027929663658,0.8697528701603001,0.5938387492071651,0.07866118915615058,0.1910469098010916,0.27540357272900795,-5.971666107045609
00046.mp4,real,True,0.0764122303911871,8.412048487663268,5.224014896901044,1.3278396333609754,0.3775469780866163,2.103029727935791,0.04228819161653519,0.917368091280307,0.8493911424888311,0.026011682600261515,0.31061369291361307,1.2603064338838834,-5.673891978625507
