alpha_3class,fake_threshold,macro_f1,accuracy
0.15000000000000002,0.4300000000000001,0.7586158036606254,0.7578125
0.15000000000000002,0.4400000000000001,0.7601374984164989,0.759375
0.15000000000000002,0.4500000000000001,0.7613160257952482,0.7609375
0.15000000000000002,0.46000000000000013,0.7611827748329265,0.7609375
0.15000000000000002,0.47000000000000014,0.7626907761988057,0.7625
0.15000000000000002,0.48000000000000015,0.7595345868546722,0.759375
0.15000000000000002,0.49000000000000016,0.7594375141448686,0.759375
0.15000000000000002,0.5000000000000002,0.757829608867266,0.7578125
0.15000000000000002,0.5100000000000002,0.7576809034130338,0.7578125
0.15000000000000002,0.5200000000000002,0.7589320843417791,0.759375
0.15000000000000002,0.5300000000000002,0.7573627133687896,0.7578125
0.15000000000000002,0.5400000000000003,0.7569180401224989,0.7578125
0.15000000000000002,0.5500000000000003,0.7582087481928911,0.759375
0.15000000000000002,0.5600000000000003,0.7564915883502801,0.7578125
0.15000000000000002,0.5700000000000003,0.7562238659704782,0.7578125
0.15000000000000002,0.5800000000000003,0.7608243793618632,0.7625
0.15000000000000002,0.5900000000000003,0.7589828231598572,0.7609375
0.15000000000000002,0.6000000000000003,0.7604066911021476,0.7625
0.15000000000000002,0.6100000000000003,0.7601715582783779,0.7625
0.15000000000000002,0.6200000000000003,0.7569220487169789,0.759375
0.15000000000000002,0.6300000000000003,0.7569220487169789,0.759375
0.15000000000000002,0.6400000000000003,0.7579590190209659,0.7609375
0.15000000000000002,0.6500000000000004,0.7566065658994953,0.759375
0.15000000000000002,0.6600000000000004,0.7545621852422526,0.7578125
0.15000000000000002,0.6700000000000004,0.7527536231884057,0.75625
0.15000000000000002,0.6800000000000004,0.7525903057434906,0.75625
0.15000000000000002,0.6900000000000004,0.7509547609893631,0.7546875
0.15000000000000002,0.7000000000000004,0.744361705211179,0.7484375
0.2,0.3,0.7380657023318041,0.7359375
0.2,0.31,0.7441214859581873,0.7421875
0.2,0.32,0.7500905475281016,0.7484375
0.2,0.33,0.7516472540395984,0.75
0.2,0.34,0.7546622884421611,0.753125
0.2,0.35000000000000003,0.7546622884421611,0.753125
0.2,0.36000000000000004,0.7559866582022298,0.7546875
0.2,0.37000000000000005,0.755925323940069,0.7546875
0.2,0.38000000000000006,0.7572475109777835,0.75625
0.2,0.39000000000000007,0.757253397481411,0.75625
0.2,0.4000000000000001,0.7555690974659489,0.7546875
0.2,0.4100000000000001,0.7569964393863765,0.75625
0.2,0.4200000000000001,0.7571981222146239,0.75625
0.2,0.4300000000000001,0.7587230856937467,0.7578125
0.2,0.4400000000000001,0.7586158036606254,0.7578125
0.2,0.4500000000000001,0.758501721147474,0.7578125
0.2,0.46000000000000013,0.7628652952832967,0.7625
0.2,0.47000000000000014,0.7657972587379814,0.765625
0.2,0.48000000000000015,0.7595345868546722,0.759375
0.2,0.49000000000000016,0.7608479714203503,0.7609375
0.2,0.5000000000000002,0.7606495208854681,0.7609375
0.2,0.5100000000000002,0.7590892224658458,0.759375
0.2,0.5200000000000002,0.7575252865922734,0.7578125
0.2,0.5300000000000002,0.7618301915006765,0.7625
0.2,0.5400000000000003,0.7601740990583353,0.7609375
0.2,0.5500000000000003,0.7568155943915812,0.7578125
0.2,0.5600000000000003,0.7582087481928911,0.759375
0.2,0.5700000000000003,0.7566335403018433,0.7578125
0.2,0.5800000000000003,0.7549679150050164,0.75625
0.2,0.5900000000000003,0.760773833400736,0.7625
0.2,0.6000000000000003,0.7605469179202039,0.7625
0.2,0.6100000000000003,0.7604066911021476,0.7625
0.2,0.6200000000000003,0.7604066911021476,0.7625
0.2,0.6300000000000003,0.7569220487169789,0.759375
0.2,0.6400000000000003,0.7569220487169789,0.759375
0.2,0.6500000000000004,0.7551666472514529,0.7578125
0.2,0.6600000000000004,0.7547133303524735,0.7578125
0.2,0.6700000000000004,0.7527536231884057,0.75625
0.2,0.6800000000000004,0.7509547609893631,0.7546875
0.2,0.6900000000000004,0.7523099036802906,0.75625
0.2,0.7000000000000004,0.7487228396218407,0.753125
0.25,0.3,0.7411971104231165,0.7390625
0.25,0.31,0.7485693400167084,0.746875
0.25,0.32,0.7486242840027965,0.746875
0.25,0.33,0.7500905475281016,0.7484375
0.25,0.34,0.7516472540395984,0.75
0.25,0.35000000000000003,0.7545702754036089,0.753125
0.25,0.36000000000000004,0.756119881735013,0.7546875
0.25,0.37000000000000005,0.7573020466282144,0.75625
0.25,0.38000000000000006,0.7572376383594209,0.75625
0.25,0.39000000000000007,0.755716514740905,0.7546875
0.25,0.4000000000000001,0.7571677082662199,0.75625
0.25,0.4100000000000001,0.7602581073754036,0.759375
0.25,0.4200000000000001,0.7556634276823688,0.7546875
0.25,0.4300000000000001,0.7571877479276287,0.75625
0.25,0.4400000000000001,0.7586158036606254,0.7578125
0.25,0.4500000000000001,0.7601374984164989,0.759375
0.25,0.46000000000000013,0.7615621805719908,0.7609375
0.25,0.47000000000000014,0.7657972587379814,0.765625
0.25,0.48000000000000015,0.7640046332223965,0.7640625
0.25,0.49000000000000016,0.7638722528266486,0.7640625
0.25,0.5000000000000002,0.765372222633089,0.765625
0.25,0.5100000000000002,0.7590892224658458,0.759375
0.25,0.5200000000000002,0.7619922989536295,0.7625
0.25,0.5300000000000002,0.7588561559969129,0.759375
0.25,0.5400000000000003,0.7602585361677311,0.7609375
0.25,0.5500000000000003,0.7600858382979824,0.7609375
0.25,0.5600000000000003,0.7601411247793287,0.7609375
0.25,0.5700000000000003,0.759896059210039,0.7609375
0.25,0.5800000000000003,0.7550868937449259,0.75625
0.25,0.5900000000000003,0.7563523251627343,0.7578125
0.25,0.6000000000000003,0.7580025608194623,0.759375
0.25,0.6100000000000003,0.759024856895642,0.7609375
0.25,0.6200000000000003,0.7604066911021476,0.7625
0.25,0.6300000000000003,0.7587881805028074,0.7609375
0.25,0.6400000000000003,0.7588313297662892,0.7609375
0.25,0.6500000000000004,0.7523265472648548,0.7546875
0.25,0.6600000000000004,0.7533766075562441,0.75625
0.25,0.6700000000000004,0.7510223368275627,0.7546875
0.25,0.6800000000000004,0.7522076303818775,0.75625
0.25,0.6900000000000004,0.7536662457101678,0.7578125
0.25,0.7000000000000004,0.7503686542791378,0.7546875
0.30000000000000004,0.3,0.7441823721956956,0.7421875
0.30000000000000004,0.31,0.7486919504469566,0.746875
0.30000000000000004,0.32,0.7501304894444737,0.7484375
0.30000000000000004,0.33,0.7501846114484904,0.7484375
0.30000000000000004,0.34,0.7516472540395984,0.75
0.30000000000000004,0.35000000000000003,0.7531091278180204,0.7515625
0.30000000000000004,0.36000000000000004,0.7559014525561927,0.7546875
0.30000000000000004,0.37000000000000005,0.7573599704684283,0.75625
0.30000000000000004,0.38000000000000006,0.7542506167676839,0.753125
0.30000000000000004,0.39000000000000007,0.7571613207302716,0.75625
0.30000000000000004,0.4000000000000001,0.7571665308340125,0.75625
0.30000000000000004,0.4100000000000001,0.7557478113502455,0.7546875
0.30000000000000004,0.4200000000000001,0.7556736880636251,0.7546875
0.30000000000000004,0.4300000000000001,0.761675157587652,0.7609375
0.30000000000000004,0.4400000000000001,0.7615621805719908,0.7609375
0.30000000000000004,0.4500000000000001,0.7615621805719908,0.7609375
0.30000000000000004,0.46000000000000013,0.7629867445456525,0.7625
0.30000000000000004,0.47000000000000014,0.7658356842185979,0.765625
